               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11097,             0.18436,            0.026413,             0.12794,             0.29431,            0.075502,            0.018306,            0.091775,             0.19497,            0.022269,              0.0706,           0.0032667,           0.0032667
                   1,            0.085018,             0.20229,             0.01702,             0.28772,             0.51597,             0.26248,             0.06688,            0.077542,             0.18324,            0.011246,            0.039947,           0.0059466,           0.0059466
                   2,            0.079301,             0.18079,            0.010748,             0.44984,             0.58118,              0.4868,             0.18226,            0.070261,             0.13994,           0.0066824,           0.0086332,           0.0079665,           0.0079665
                   3,            0.073811,             0.17959,           0.0079434,             0.66861,             0.62822,             0.60727,             0.24347,            0.070381,             0.12301,           0.0045889,             0.00703,             0.00703,             0.00703
                   4,            0.070068,             0.17357,           0.0064685,             0.49895,             0.64923,             0.55763,             0.23041,            0.062067,             0.12627,           0.0035857,             0.00703,             0.00703,             0.00703
                   5,            0.064696,             0.17091,           0.0054779,             0.76307,             0.70748,             0.75786,             0.38654,            0.056975,             0.13633,           0.0029615,             0.00604,             0.00604,             0.00604
                   6,             0.06195,             0.16248,           0.0051046,             0.88327,             0.75848,             0.82964,             0.40791,            0.054715,             0.11697,           0.0029666,             0.00505,             0.00505,             0.00505
                   7,            0.058122,              0.1608,           0.0047664,             0.92867,             0.75928,             0.85637,             0.46012,            0.051896,             0.11215,           0.0026381,             0.00406,             0.00406,             0.00406
                   8,            0.056372,             0.15807,           0.0043836,             0.94228,             0.77398,             0.87075,             0.49202,            0.050468,             0.11322,           0.0024181,             0.00307,             0.00307,             0.00307
                   9,             0.05484,             0.16516,           0.0044226,             0.94137,              0.7824,             0.87879,             0.50422,             0.04806,             0.11001,           0.0023275,             0.00208,             0.00208,             0.00208
