               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10668,             0.13798,            0.014541,             0.70791,             0.27559,             0.22328,            0.074809,            0.078263,             0.14056,            0.011516,            0.070135,           0.0033183,           0.0033183
                   1,            0.087411,             0.12029,            0.010858,             0.39176,             0.60325,             0.40561,             0.14333,            0.070215,             0.13761,           0.0081384,            0.039536,            0.006053,            0.006053
                   2,            0.082539,             0.11491,           0.0084416,             0.46814,             0.51919,             0.52069,              0.1893,            0.064831,             0.13054,           0.0056757,           0.0083378,           0.0081877,           0.0081877
                   3,            0.075315,             0.11211,           0.0069293,             0.51344,             0.60706,             0.56026,             0.18307,            0.065548,             0.11209,           0.0044391,              0.0073,              0.0073,              0.0073
                   4,            0.069067,             0.11075,           0.0060282,             0.58853,             0.77158,             0.72451,             0.30211,            0.058002,             0.11582,            0.004007,              0.0073,              0.0073,              0.0073
                   5,            0.063843,             0.10589,           0.0053804,              0.8632,             0.86281,              0.8973,             0.34331,            0.050662,             0.11047,            0.003765,              0.0064,              0.0064,              0.0064
                   6,            0.060514,             0.10649,           0.0050291,             0.88165,             0.87814,             0.92479,             0.41119,               0.049,             0.10989,           0.0034197,              0.0055,              0.0055,              0.0055
                   7,            0.056627,            0.098825,           0.0045371,             0.94153,             0.90777,             0.95678,             0.53299,            0.043817,             0.10618,           0.0031964,              0.0046,              0.0046,              0.0046
                   8,            0.053343,            0.097605,           0.0042553,             0.94182,             0.92172,             0.96384,             0.53232,            0.043021,             0.10452,            0.002996,              0.0037,              0.0037,              0.0037
                   9,            0.050398,             0.09454,           0.0040075,             0.95175,             0.93443,             0.96735,             0.57506,            0.041154,             0.10296,           0.0028067,              0.0028,              0.0028,              0.0028
